"","Gene","Quiescence_avg_log2FC","Quiescence_Up_percent","Quiescence_Down_percent","Quiescence_wilcox","Quiescence_wilcox.adj","Type","Rank"
"AGPAT5","AGPAT5",-0.0944881863558068,0.25,0.75,0.0120792388916016,0.141910202423233,"None",1026
"NENF","NENF",-0.0944980954370733,0.25,0.75,0.132726669311523,0.429161299444952,"None",1025
"PODXL","PODXL",-0.0945019280176505,0.3,0.7,0.0896949768066406,0.356996124666145,"None",1024
"NPTN","NPTN",-0.0945119984148228,0.35,0.65,0.311794281005859,0.621872603600709,"None",1023
"POLE4","POLE4",-0.0945682654213599,0.3,0.7,0.069580078125,0.320508164746865,"None",1022
"FAM208B","FAM208B",-0.0945897109143777,0.2,0.8,0.058258056640625,0.293787996048943,"None",1021
"OAS3","OAS3",-0.0947666841553121,0.2,0.8,0.261098861694336,0.577830440082415,"None",1020
"RSRC1","RSRC1",-0.0947760022681329,0.4,0.6,0.153646469116211,0.459568481904812,"None",1019
"NNT","NNT",-0.0948142881995619,0.35,0.65,0.329982757568359,0.636927997154762,"None",1018
"SCARB1","SCARB1",-0.0948223960866448,0.2,0.8,0.00485992431640625,0.0954124819307341,"None",1017
"CENPU","CENPU",-0.0948263480818076,0.2,0.8,0.0531692504882812,0.282915269760858,"None",1016
"HMGN5","HMGN5",-0.094831428980475,0.25,0.75,0.017181396484375,0.16646339989811,"None",1015
"SRRM2","SRRM2",-0.095175025605437,0.25,0.75,0.474905014038086,0.743838492376673,"None",1014
"CBR1","CBR1",-0.0952305308431426,0.3,0.7,0.311794281005859,0.621872603600709,"None",1013
"ZNF131","ZNF131",-0.0953310453804884,0.35,0.65,0.0531692504882812,0.282915269760858,"None",1012
"TXNDC17","TXNDC17",-0.095334252663116,0.35,0.65,0.329982757568359,0.636927997154762,"None",1011
"NUP93","NUP93",-0.0954447060085893,0.15,0.85,0.00943565368652344,0.126989047670221,"None",1010
"SEPT11","SEPT11",-0.0954847646693146,0.3,0.7,0.216167449951172,0.532339639374704,"None",1009
"DDAH1","DDAH1",-0.095511058857341,0.25,0.75,0.368276596069336,0.667507552945894,"None",1008
"ALDH1A1","ALDH1A1",-0.0955180530919982,0.4,0.6,0.701181411743164,0.874292500470903,"None",1007
"CYB5R3","CYB5R3",-0.0955425662478098,0.2,0.8,0.348810195922852,0.65378751986714,"None",1006
"CBX1","CBX1",-0.0955931662493887,0.25,0.75,0.069580078125,0.320508164746865,"None",1005
"NCAPD3","NCAPD3",-0.0956069162552457,0.15,0.85,0.017181396484375,0.16646339989811,"None",1004
"NOM1","NOM1",-0.0956233289736408,0.2,0.8,0.0295753479003906,0.209717525117048,"None",1003
"TAZ","TAZ",-0.0956694026071008,0.2,0.8,0.00198554992675781,0.0645328276120457,"None",1002
"ORMDL3","ORMDL3",-0.0957099882876724,0.3,0.7,0.017181396484375,0.16646339989811,"None",1001
"DNAJC1","DNAJC1",-0.0957190969224435,0.35,0.65,0.595819473266602,0.81598849116861,"None",1000
"CEP152","CEP152",-0.0957292607885605,0.2,0.8,0.00271224975585938,0.0728697991183494,"None",999
"SDHB","SDHB",-0.0957405089938516,0.25,0.75,0.311794281005859,0.621872603600709,"None",998
"YLPM1","YLPM1",-0.0957570157294829,0.25,0.75,0.082550048828125,0.344618183292755,"None",997
"SEPT7","SEPT7",-0.0957613190390439,0.45,0.55,0.812355041503906,0.92705265970433,"None",996
"PSMD4","PSMD4",-0.0957682370104138,0.3,0.7,0.311794281005859,0.621872603600709,"None",995
"NDUFV1","NDUFV1",-0.0957869554136801,0.35,0.65,0.202449798583984,0.517371707492404,"None",994
"PNO1","PNO1",-0.0958306685011971,0.25,0.75,0.0973072052001953,0.370258886075317,"None",993
"BCL7C","BCL7C",-0.095833822646524,0.35,0.65,0.026641845703125,0.201830796063957,"None",992
"MAPK14","MAPK14",-0.0958648362824526,0.1,0.9,0.0758514404296875,0.333367598766574,"None",991
"NDUFV2","NDUFV2",-0.0959538368734581,0.3,0.7,0.113986968994141,0.39928194024097,"None",990
"ARHGEF2","ARHGEF2",-0.0959942234371719,0.35,0.65,0.756166458129883,0.902486518652746,"None",989
"SNRPD2","SNRPD2",-0.0960119103616652,0.4,0.6,0.621513366699219,0.830811756960405,"None",988
"METRN","METRN",-0.096023029622177,0.4,0.6,0.0531692504882812,0.282915269760858,"None",987
"TAF10","TAF10",-0.0961376307403614,0.2,0.8,0.132726669311523,0.429161299444952,"None",986
"FERMT1","FERMT1",-0.0961586812407255,0.45,0.55,0.277355194091797,0.590607558770352,"None",985
"POLR2K","POLR2K",-0.0961681293046428,0.5,0.5,0.474905014038086,0.743838492376673,"None",984
"C20orf24","C20orf24",-0.0961759969389317,0.45,0.55,0.840822219848633,0.940097152167958,"None",983
"SLC2A4RG","SLC2A4RG",-0.0961810240345018,0.2,0.8,0.0973072052001953,0.370258886075317,"None",982
"ETV4","ETV4",-0.0962218338683092,0.25,0.75,0.113986968994141,0.39928194024097,"None",981
"LRRCC1","LRRCC1",-0.0964983125487005,0.3,0.7,0.00422096252441406,0.0901256154297264,"None",980
"CYB5B","CYB5B",-0.096534184850012,0.2,0.8,0.0896949768066406,0.356996124666145,"None",979
"IMPA2","IMPA2",-0.0965509166447078,0.35,0.65,0.153646469116211,0.459568481904812,"None",978
"FGFR4","FGFR4",-0.0966106161259367,0.4,0.6,0.0399894714355469,0.245409072072882,"None",977
"SYT13","SYT13",-0.0966250590106395,0.25,0.75,0.0440540313720703,0.25750675966351,"None",976
"LIN54","LIN54",-0.0966925281500697,0.1,0.9,0.00365447998046875,0.0837656787318042,"None",975
"SP100","SP100",-0.0967168188205106,0.25,0.75,0.674222946166992,0.860277427457722,"None",974
"MTF2","MTF2",-0.0967340083571261,0.15,0.85,0.058258056640625,0.293787996048943,"None",973
"CA9","CA9",-0.0967387664333664,0.3,0.7,0.261098861694336,0.577830440082415,"None",972
"ESD","ESD",-0.0968274214681898,0.25,0.75,0.452375411987305,0.728024711874432,"None",971
"JTB","JTB",-0.096915608374283,0.3,0.7,0.621513366699219,0.830811756960405,"None",970
"POMP","POMP",-0.0969878526247067,0.4,0.6,0.869487762451172,0.951829651947732,"None",969
"PDIA6","PDIA6",-0.0972024439162909,0.25,0.75,0.756166458129883,0.902486518652746,"None",968
"PSMB6","PSMB6",-0.0973061572405148,0.4,0.6,0.474905014038086,0.743838492376673,"None",967
"CCDC104","CCDC104",-0.0973756541760048,0.35,0.65,0.123092651367188,0.413775222407274,"None",966
"ELAC2","ELAC2",-0.0974240276060113,0.15,0.85,0.0399894714355469,0.245409072072882,"None",965
"DEPDC1B","DEPDC1B",-0.0975039695420912,0.15,0.85,0.000322341918945312,0.032744566599528,"Down",964
"BAZ2A","BAZ2A",-0.0975301426121516,0.1,0.9,0.153646469116211,0.459568481904812,"None",963
"NUDT5","NUDT5",-0.0975323947643632,0.35,0.65,0.230512619018555,0.544563725937245,"None",962
"RBMX2","RBMX2",-0.097654779625288,0.15,0.85,0.0327682495117188,0.223906763422573,"None",961
"RNF26","RNF26",-0.0976931797668372,0.3,0.7,0.0239505767822266,0.191733303924105,"None",960
"LYRM5","LYRM5",-0.0976965719885614,0.15,0.85,0.00168991088867188,0.0619126095797846,"None",959
"NDRG2","NDRG2",-0.0977975736166093,0.35,0.65,0.0896949768066406,0.356996124666145,"None",958
